Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1957,42.44,50.35,50.55,55.24,61.07,75.76,79.86,77.15,71.63,59.11,45.18,44.47
1958,41.18,47.03,44.68,54.95,69.1,76.17,79.86,79.3,72.16,62.84,48.75,46.3
1959,43.33,42.31,50.39,60.2,64.33,77.45,81.63,76.43,71.08,61.61,49.35,42.94
1960,35.87,39.9,52.81,58.29,64.58,77.37,80.86,79.22,74.14,59.65,50.03,39.49
1961,41.97,45.92,49.17,57.52,64.7,77.37,80.73,77.4,68.95,59.71,46.42,39.12
1962,38.64,45.05,44.13,61.22,62.73,72.46,78.8,79.61,73.22,61.86,53.08,44.14
1963,36.75,49,48.36,54.19,67.66,71.42,81.2,76.57,73.57,64.63,50.41,41.17
1964,37.48,39.04,44.62,54.19,63.98,72.4,80.62,76.51,70.35,64.76,45.71,42.02
1965,42.89,42.66,46.1,54.48,61.67,68.65,78.45,77.65,68.61,62.88,52.74,42.04
1966,37.61,38.62,50.5,58.42,67.79,74.33,80.18,78.78,72.01,60.42,51.96,41.85
1967,39.65,45.86,52.55,52.36,63.37,70.91,79.75,77.79,71.23,62.68,52.91,36.09
1968,38.04,48.29,49.57,53.87,63.99,74.54,77.85,73.66,70.81,61.47,49.04,37.67
1969,44.43,41.94,45.2,57.48,66.52,72.28,79.82,80.94,73.27,57.8,49.07,44.18
1970,40.38,47.42,47.19,51.46,65.65,74.4,80.54,79.12,69.61,57.04,50.48,41.73
1971,40.72,44.24,50.06,55.31,61.09,73.26,81.36,76.91,70.97,56.39,47.62,38.05
1972,40.96,46.25,56.8,57.62,64.85,73.72,81.04,77.07,71.04,59.82,44.66,38.99
1973,36.88,43.18,43.99,52.68,65.55,73.97,79.12,77.81,70.42,61.41,49.38,43.2
1974,39.46,42.08,52.1,55.87,66.72,78.4,78.27,76.45,71.89,61.88,48.81,38.53
1975,39.62,41.76,46.8,50.02,61.5,72.2,78.85,77.47,71.71,60.23,48.8,41.66
1976,41.12,47.25,47.59,54.4,65.7,73.42,78.54,76.2,69.51,58.39,49.95,40.93
1977,38.95,46.12,45.66,57.47,60.67,75.84,79.86,78.81,72.78,63.65,51.68,46.82
1978,42.7,44.01,52.2,55.84,63.27,76.12,80.24,77.17,71.04,64.65,49.05,37.53
1979,36.12,41.57,47.5,55.91,63.56,73.62,79.5,75.46,74.88,63.99,45.85,43.39
1980,43.4,47.01,47.21,55.63,60.86,74.32,80.95,77.8,72.15,60.79,50.28,47.72
1981,45.68,46.68,48.5,60.05,65.06,78.29,80.5,78.91,72.6,59.31,52.31,45.14
1982,40.69,44.9,49.01,56.21,63.77,72.03,78.22,77.98,71.81,58.13,48.06,40.83
1983,42.06,44.74,48.48,51.17,63.41,72.15,79,76.92,74.72,61.41,49.29,43.94
1984,41.91,43.91,50.86,54.66,70.25,73.74,78.4,76.52,73.26,56.41,48.71,41.46
1985,40.13,41.56,49.28,59.58,66.52,76.49,80.57,78.55,67.64,60.67,47.9,42.81
1986,47.13,47.26,53.81,58.04,66.2,76.4,77.22,79.34,68.08,58.34,49.91,42.03
1987,39.35,44.06,46.78,60.02,64.86,75.97,77.49,76.75,71.17,64.87,48.39,38.85
1988,39.47,46.55,50.22,56.49,65.23,75.84,80.71,77.18,70.2,65.97,49.87,40.81
1989,38.72,45.07,54.82,63.72,67.37,75.12,81.44,77.05,72.89,61.1,51.09,42.12
1990,40.25,42,51.79,59.46,64.52,77.6,79.17,75.75,72.97,61.75,50.35,37.27
1991,40.03,48.82,45.38,55.14,63,71.25,79.25,78.21,72.19,64.28,48.72,41.45
1992,39,46.53,50.03,60.63,66.47,73.1,77.8,77.34,72.89,63.8,45.65,38.33
1993,43.13,44.26,51.37,58.05,67.11,73.74,77.93,77.51,71.46,61.25,46.98,41.69
1994,43.02,42.55,52.5,58.01,64.95,78.86,81.13,81.27,73.61,59.68,45.44,43.11
1995,41.58,50.51,51.04,54.42,61.62,71.88,79.88,81.24,74.74,62.73,54.83,44.63
1996,43.67,49.81,51.16,59.47,69.37,77.75,82.14,80.12,70.23,60.77,50.78,43.6
1997,41.44,44.47,54.26,55.67,70.06,73.77,79.28,78.97,74.67,60.15,51,39.17
1998,43.56,41.68,48.45,52.09,62.59,71.39,80.99,80.18,73.36,60.42,50.27,42.38
1999,45.05,47.31,52.69,52.93,64.63,74.17,78.17,77.57,72.4,63.94,54.66,41.83
2000,45.07,47.98,50.02,61.25,70.57,77.66,81.22,79.47,74.43,60.42,43.32,44.54
2001,40.07,43.61,51.14,56.95,70.34,77.23,79.61,78.95,75.39,64.67,52.89,39.8
2002,42.02,45.38,49.11,61.74,66.43,78.62,82.2,79.71,73.6,59.87,50.93,40.8
2003,48.22,45.36,49.88,55.28,67.8,76.32,83.72,79.87,74.61,67.49,48.56,42.93
2004,42.35,41.52,57.5,57.91,67.96,76.04,79.92,77.69,71.84,59.98,47.34,42.36
2005,44.92,45.76,49.53,56.76,67.43,74.24,82.7,77.39,73.29,62.71,52.37,43.8
2006,43.4,47.14,47.97,58.52,69.78,79.18,82.18,77.63,69.52,60.11,52.8,41.14
2007,38.28,46.03,53.77,58.67,67.97,76.92,81.83,80.09,73.6,62.14,54.81,39.69
2008,39.31,43.99,51.03,57.25,63.18,76.69,80.22,79.41,73.2,62.21,52.97,42.16
2009,44.57,45.91,52.06,56.08,70.49,72.56,82.48,79.43,73.95,59.09,52.59,38.69
