Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1957,22.54,33.01,33.59,39.01,48.46,59.5,67.06,65.5,55.67,47.03,30.7,30.45
1958,25.26,31.56,27.87,39.7,55.26,62.74,65.18,67.22,59.4,48.34,35.51,30.68
1959,24.95,26.47,32.5,41.65,52.2,64.2,66.41,66.35,56.59,44.15,33.41,29.89
1960,21.53,20.08,32.39,45.2,50.87,62.22,66.59,66.5,59.85,47.47,35.94,25.04
1961,25.11,30.14,33.94,40.52,52.1,62.26,66.28,65.93,53.05,46.08,31.22,22.16
1962,18.77,30.78,29.25,45.59,53.12,59.71,65.54,65.52,57.92,49.67,38.08,29.77
1963,16.68,32.35,33.58,44.76,55.42,62.14,69.56,65.75,61.27,53.65,37.58,24.35
1964,23.76,21.63,27.56,41.04,53.06,59.59,69.68,64.2,57.36,48.57,33.79,25.74
1965,28.05,25.15,25.43,43.86,51.16,58.53,66.42,63.1,52.32,49.4,39.35,29.03
1966,20.76,21.93,35.91,42.39,53.87,61.09,69.67,64.35,58.5,46.34,37.43,25.35
1967,26.19,28.72,38.93,43.87,49.06,57.69,66.29,63.92,56.88,48.7,35.52,21.71
1968,23.21,29.14,34.96,38.74,48.87,62.48,66.01,62.27,55.91,48.43,32.46,23.65
1969,28.29,27.69,26.9,45.73,54.63,57.29,68.01,67.87,59.11,39.91,33.67,28.47
1970,24.74,32.18,30,37.78,53.18,59.84,67.2,67.63,55.41,41.68,34.76,27.82
1971,25.7,26.89,32.6,42.45,49.36,62.42,66.03,65.63,54.21,45.79,33.6,24.61
1972,24.5,30.34,40.33,44.07,51.55,62.38,65.74,64.51,57.27,47.28,27.09,20.08
1973,19.91,25.87,32.49,37,50.15,60.02,65.37,65.91,55.23,48.45,35.13,26.33
1974,19.26,25.6,37.88,41.75,54.95,62.27,67.6,62.78,55.45,48.79,34.11,23.15
1975,23.13,24.59,32.22,39.3,48.97,58.36,66.73,64.96,56.09,47.52,32.48,27.84
1976,23.59,32.52,32.26,43.5,51.35,60.26,67.67,64.19,57,43.33,33.28,27.13
1977,21.07,30.35,31.77,44.57,53.21,64.99,68.03,65.39,59.93,48.51,35.39,29.4
1978,22.7,24.6,36.4,44.76,49.43,61.66,68.11,63.99,58.72,48.24,33.96,19.14
1979,14.46,24.83,33.63,42.54,49.92,59.76,67.19,63.61,60.34,49.65,27.69,27.48
1980,23.71,28.72,31.19,39.83,49.35,63.25,69.5,65.89,58.82,45.77,35.2,34.85
1981,30.73,29.87,34.61,47.96,50.41,64.1,67.66,64.39,59.57,46.34,38.36,28.35
1982,23.59,25.09,35.01,40.92,50.16,57.69,66.43,66.56,57.38,43.9,31.96,26.41
1983,27.4,29.82,33.54,36.62,47.41,57.52,67.2,68.38,60.25,48.02,34.07,18.19
1984,19.4,26.22,31.36,37.23,53.51,59.77,67.38,65.79,57,41.04,34.66,26.94
1985,21.5,21.87,35.07,44.75,53.11,61.58,67.05,65.64,54.62,45.45,29.89,23.97
1986,31.21,30.67,40.09,44.24,51.03,62.45,65.85,65.34,55.28,44.53,33.81,26.16
1987,24.29,30.18,31.62,44.43,52.56,62.28,66.33,63.59,56.56,47.9,34.29,23.87
1988,18.45,26.88,32.15,42.89,51.96,64.3,67.32,66.56,56.25,49.31,34.19,25.19
1989,24.43,21.96,38.06,45.86,53.34,58.89,68.21,63.92,57.12,46.43,36.11,23.32
1990,25.54,26.75,35.71,44.64,49.48,64.38,65.57,64.17,60.93,46.27,36.41,20
1991,21.36,31.96,33.93,41.22,52.46,61.78,65.82,65.07,57.16,47.23,29.83,25.59
1992,23.82,31.01,37.35,47.16,54.07,58.79,63.8,63.07,57.88,48.89,28.05,21.53
1993,22.78,24.69,35.47,41.13,51.7,59.4,65.18,63.56,54.72,44.53,28.75,26.22
1994,26.39,24.81,37.46,42.79,54.27,65.48,66.93,67.44,58.58,45.82,31.62,29.22
1995,25.78,33.76,35.45,39.1,46.58,57.9,64.87,68.23,57.37,45.24,37.52,29
1996,23.84,30.14,32.71,42.93,54.66,62.72,67.53,65.68,55.33,45.88,34.26,26.2
1997,23.95,26.81,37.26,37.7,51.56,61.66,66.7,64.56,59.42,45.64,31.8,24.03
1998,27.62,28.94,32.68,39.98,53.7,58.6,68.54,65.75,62.21,46.78,37,26.12
1999,29.26,32.48,38.54,39.69,49.69,59.9,67.89,65.04,55.2,47.74,41.05,27.85
2000,28.43,33.35,36.1,45.68,55.18,62.48,69.28,68.72,58.99,47.33,26.79,25.28
2001,24.54,27.34,35.24,45.06,53.26,63.18,69.82,66.61,59.94,47.65,37.87,26.09
2002,24.99,26.2,30.89,46.73,52.62,66.72,70.64,66.62,58.23,43.3,33.23,27.32
2003,31.1,26.03,35.69,44.87,53.15,59.68,72.06,68.33,56.36,51.29,32.38,28.36
2004,26.02,25.77,41.01,44.23,54.15,60.38,65.39,63.03,57.74,46.83,33.91,27.86
2005,30.03,30.74,34.74,43,52.63,60.51,69.69,65.08,60.05,48.35,37.43,25.41
2006,29.54,27.21,34.5,46.64,55.17,65.38,69.44,65.54,53.46,45.07,36.64,26.3
2007,19.3,27.09,39.91,42.61,53.18,62.37,69.35,68.6,59.77,48.16,37.91,22.34
2008,20.58,26.72,33.5,40.13,50.64,61.33,68.97,65.71,57.19,47.36,38.28,24.87
2009,27.87,31.82,36.57,41.29,54.05,59.5,66.78,64.67,57.6,40.59,37.71,20.31
2010,25.93,24.11,34.61,43.56,49.4,63.64,68.29,66.4,61.11,49.18,33.57,30.88
