Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1957,12.3,27.31,30.78,35.95,48.08,56.08,66.14,65,52.63,43.41,26.4,28.1
1958,22.84,27.64,25.53,36.74,54.1,57.83,61.47,66.17,56.11,45.53,31.07,25.7
1959,21.12,20.24,29.56,38.36,46.54,61.63,64.77,64.78,52.96,41.27,27.3,26.66
1960,19.15,17.49,29.09,41.28,49.04,59.32,67.44,63.25,56.79,44.37,30.47,21.9
1961,22.37,28.45,32.08,37.3,49.47,61.97,66.04,66.68,48.79,41.31,26.25,18.68
1962,13.01,24,25.27,42.74,49.67,57.04,62.88,62.45,54.59,46.9,35.45,26.61
1963,11.77,30.37,30.67,38.32,50.69,58.11,66.28,65.35,59.02,50.67,34.03,21.12
1964,19.98,18.83,22.69,37.81,49.58,55.33,68.18,61.68,53.03,45.34,29.37,21.13
1965,25.44,21.62,18.84,41.04,46.55,55.99,64.54,61.84,45.22,47.68,35.79,25.25
1966,18.81,19.73,31.42,36.8,51.44,57.26,68.99,62.48,57.52,41.85,32.81,22.58
1967,24.2,24.77,32.8,38.52,45.31,54.07,64.88,64.46,56.21,45.25,30.25,17.14
1968,18.64,26,33.64,34.93,45.64,57.11,64.6,60.1,52.8,44.48,29.08,18.64
1969,21.04,23.14,23.64,43.23,52.13,53.44,65.17,67.37,58.09,36.16,31.75,25.22
1970,20.93,28.81,26.35,32.99,49.19,58.13,65.74,66.95,51.11,38.83,30.56,21.2
1971,22.06,23.1,27.55,38.36,47.66,58.83,62.92,67.19,50.99,40.62,28.57,19.25
1972,16.92,24.52,36.26,39.37,48.21,59.75,62.23,63.36,52.54,42.81,27.1,15.19
1973,15.8,21.03,28.86,33.84,47.34,58.1,64.2,65.01,51.84,45.75,29.24,25.02
1974,16.52,25.01,32.77,39.8,48.21,60.41,67.19,60.61,51.98,45.3,31.81,21.38
1975,19.39,19.05,27.98,33.24,44.96,53.93,66.99,61.93,53.01,43.21,29.17,25.26
