Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1957,37.52,45.51,44.45,49.83,57.17,69.19,74.26,70.94,63.65,53.01,38.72,38.17
1958,33.05,40.5,38.57,49.5,62.36,71.79,73.9,72.72,65.26,53.99,43.62,39.01
1959,34.87,37.29,42.68,52.39,60.7,70.89,72.6,71.4,65.57,54.09,41.53,36.77
1960,30.41,33.07,44.89,53.62,59.38,70.95,71.77,72.13,66.49,53.91,44.62,31.22
1961,32.25,38.51,44.11,51.03,61.26,70.01,72.31,70.76,62.6,54.09,39.77,34.09
1962,30.83,42.31,39.26,54.37,61.03,67.58,71.58,72.37,65.63,55.96,45.69,37.61
1963,29.06,39.53,43.89,53.88,62.93,68.36,75.28,70.95,66.76,58.74,44.95,33.73
1964,30.97,30.05,40.05,50.17,61.37,68.4,74.53,71.72,64.85,56.22,43.03,35.33
1965,37.39,35.44,39.2,52.6,59.23,66.43,73.2,70.12,63.47,55.03,47.81,37.23
1966,30.08,32.63,45.08,52.68,62.16,68.71,75.36,70.26,64.87,53.9,46.87,34.96
1967,33.99,39.29,49.27,54.03,59.12,67.54,73.33,69.31,63.61,56.03,45.31,31.37
1968,33.75,40.08,42.92,48.89,58.93,69.87,71.07,68.7,63.07,56.03,42.19,33.33
1969,39.66,37.44,37.54,53.76,60.96,67.55,74.45,73.92,65.38,52.67,41.92,38.06
1970,33.25,40.41,40.69,48.79,60.43,67.51,73.19,72.37,64.08,50.02,43.59,38.35
1971,34.8,37.71,44.7,50.73,58.51,69.51,73.47,68.67,63.42,52.93,43.37,34.32
1972,35.97,39.95,50.28,53.51,59.79,68.67,72.38,69.56,64.32,55.74,37.35,34.42
1973,31,35.72,41.56,45.67,58.36,67.08,71.61,70.85,63.97,55.53,45.76,36.48
1974,34.08,36.06,48.97,52,63.87,71.37,72.34,68.58,61.79,55.04,42.77,32.53
1975,32.91,36.02,43.02,48,57.15,67.66,70.57,70.68,62.31,54.91,42.85,36.04
1976,33.57,42.98,43.91,52.13,58.93,68.47,71,70.2,63.57,50.23,39.83,33.32
1977,30.97,38.56,41.09,52.09,60.05,71.01,73.26,73.06,67.27,56.72,45.49,40.18
1978,34.52,35.85,46.27,54.4,59.27,70.66,74.69,70.46,64.14,56.19,44.5,32.33
1979,29.37,36.27,43.25,51.41,58.57,66.72,73.21,69.16,65.74,58.02,38.46,36.55
1980,36.74,39.56,42.5,49.28,57.82,72.41,76.36,72.01,65.8,52.57,41.87,41.3
1981,37.67,40.14,43.11,55.12,60.18,71.96,73.57,70.04,64.91,54.73,46.7,39.03
1982,35.06,36.57,45.08,51.73,58.74,67.73,73.16,72.01,65.85,52.52,42.07,33.98
1983,34.32,37.9,43.61,46.11,57.36,66.28,73.24,72.72,68.45,55.78,44.43,33.5
1984,32.81,37.8,43.46,49.48,63.79,68.44,72.61,70.15,64.78,50.1,43.32,36.8
1985,32.61,35.09,45.54,53.7,60.81,69.21,72.79,71.96,63.32,54.02,44.31,35.33
1986,39.72,41.05,47.65,54.39,60.47,67.93,71.28,71.79,63.61,52.29,41.89,34.91
1987,32.62,37.71,41.03,50.81,58.59,68.15,71.77,70.01,63.19,56.89,42.53,33.27
1988,30.98,39.22,43.25,51.12,59.84,68.97,71.92,70.34,62.99,56.98,44.67,33.82
1989,34.23,37.98,48.94,56.72,63.45,68.94,73.33,70.35,64.42,55,44.38,33.1
1990,33.6,37.14,45,53.44,59.54,74.1,71.45,68.59,66.33,54.61,44.78,32.33
1991,32.81,40.76,43.2,51.62,60.92,68.04,70.77,70.15,62.91,56.01,40.2,34.73
1992,31.6,39.37,45.38,54.57,59.67,66.74,71.63,70.07,65.62,57.04,38.3,32.84
1993,36.62,38.28,45,52.23,60.33,68.98,73.63,70.91,63.86,53.28,40.08,35.73
1994,35.63,36.76,46.02,52.34,60.76,73.73,74.7,73.84,65.74,54.1,42.98,38.82
1995,35.69,44.14,45.81,49.37,58.67,67.42,72.59,73.78,65.38,55.57,47.03,37.86
1996,36.27,43.01,43.22,53.17,66.62,71.96,73.76,71.15,62.62,53.97,44.51,37
1997,33.05,37.14,47.34,48.24,61.21,68.27,73.09,71.62,68.03,54.13,42.27,31.55
1998,37.2,37.36,42.7,48.07,61.78,69.76,74.42,71.54,69.09,55.79,45.96,37.07
1999,39.4,42.53,46.78,50.45,59.45,68,72.53,71.16,64.67,55.39,48.06,34.5
2000,38.86,43.36,45.54,55.21,65.66,70.7,74.6,73.34,68.11,54.16,37.02,35.55
2001,31.88,39.02,43.93,53.95,62.92,71.41,75.1,71.62,66.86,56.99,46.07,34.99
2002,36.25,36.64,43.24,57.22,62.5,73.87,73.74,73.32,65.7,53.21,42.6,34.62
2003,40.12,38.61,44.68,52.87,62.89,69.11,76.81,73.7,66,59.16,44.55,37.19
2004,36.51,34.94,49.29,51.54,62.91,69.78,72.24,69.59,64.16,54.23,41.69,35.55
2005,39.98,39.69,43.02,51.63,61.22,69.64,75.06,70.72,67.71,55.35,45.75,37.01
