Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1950,0.66,-0.81,-0.34,-0.92,0.29,-0.17,1,-0.81,0.01,-1.84,-0.17,-0.74
1951,0.07,-0.59,-0.53,0.48,0.27,0.27,0.05,1.17,-0.93,0.36,0.83,1.59
1952,1.02,-0.38,1.57,0.07,-0.6,0.62,0.34,0.05,-0.93,-2.07,0.14,-0.14
1953,-0.3,-0.82,-0.68,0.49,0.75,-0.22,0.1,0.61,-1.66,-0.09,-0.68,-0.63
1954,0.22,-1.44,0.69,-1.66,-0.6,0.44,-0.45,-0.36,0.52,-0.44,-0.61,-0.34
1955,0.5,0.61,-0.74,-0.21,-0.23,0.69,0.31,0.72,-0.62,-1.22,0.47,-0.09
1956,0.82,-0.5,-1.49,-0.32,-0.37,-1.07,0.06,-0.47,-1.66,-0.3,-0.71,-0.53
1957,1.05,-0.87,-0.06,1.26,1.65,0.61,0.15,0.5,-0.92,0.62,1.38,-0.19
1958,-0.51,0.43,0.96,0.31,-1.2,-0.94,-0.64,-0.92,-0.03,-1.39,-0.03,-1.62
1959,-0.74,0.87,-0.87,-0.63,-0.1,-0.63,-1.08,0.74,0.61,-0.49,-0.91,0.23
1960,-0.04,0.67,-0.39,-0.6,-0.49,-0.89,-1.38,-0.88,-0.39,0.52,0.46,-1.04
1961,-1.62,-1.06,0.83,-0.16,-0.53,-1.48,-0.45,1.1,1.72,0.4,0.53,-0.12
1962,-0.11,1.51,0.4,-1.05,0.39,0.15,0.03,-1.11,-0.16,-0.52,-1.29,-1.12
1963,-0.63,-0.63,-0.01,1.23,-1.53,1.09,-1,0.77,0.51,-1.16,0.37,-1.1
1964,-0.67,-1.35,0.68,1.03,0.63,1.19,-1.1,0.05,-0.25,-1.53,0.9,1.16
1965,-0.17,-0.43,-0.12,0.87,1,1.29,1.16,1.04,1.45,-1.03,0.61,1.11
