Report ID,Title,Publish Date,Start Date,End Date,Summary,URL,Source Name,Source Description,Source City,Source State,Categories,Places,
151212,Governor urges consideration of bans on fireworks sales - Tucson (AZ),06/17/2020,06/15/2020, ,,https://tucson.com/news/national/govt-and-politics/governor-urges-consideration-of-bans-on-fireworks-sales/article_b6023b18-11a5-50c6-80c3-bff4399f7853.html,,updated 20200617,Tucson,AZ,"Fire, Relief, Response & Restrictions",New Mexico,
151216,Governor urges consideration of bans on fireworks sales - Bryan-College Station Eagle (TX),06/17/2020,06/15/2020, ,,https://www.theeagle.com/news/national/govt-and-politics/governor-urges-consideration-of-bans-on-fireworks-sales/article_0205b57c-eb48-53df-b0d1-93a3cabd19fa.html,,good,Bryan,TX,"Fire, Relief, Response & Restrictions",New Mexico,
151217,Governor urges consideration of bans on fireworks sales - Casper Star Tribune (WY),06/17/2020,06/15/2020, ,,https://trib.com/news/national/govt-and-politics/governor-urges-consideration-of-bans-on-fireworks-sales/article_80fd0e07-d03d-5af1-816f-c68dbd81976c.html,,updated 20200324,Casper,WY,"Fire, Relief, Response & Restrictions",New Mexico,
151251,Governor urges consideration of bans on fireworks sales - Las Cruces Sun (NM),06/17/2020,06/15/2020, ,,http://www.lcsun-news.com/story/news/2020/06/17/nm-governor-urges-consideration-bans-fireworks-sales/3206726001/,,updated 20200421,Las Cruces,NM,"Fire, Relief, Response & Restrictions",New Mexico,
149267,New Mexico national forests to impose fire restrictions - Associated Press (NY),05/15/2020,05/20/2020, ,,https://apnews.com/cbc0543ec6290758325ab6195aea2740,,,New York,NY,"Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Cibola County, NM, Colfax County, NM, Lincoln County, NM, Los Alamos County, NM, McKinley County, NM, Mora County, NM, Rio Arriba County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM",
149274,New Mexico national forests to impose fire restrictions - The Durango Herald (CO),05/14/2020,05/20/2020, ,,https://durangoherald.com/articles/324729-new-mexico-national-forests-to-impose-fire-restrictions,,updated 20200324,Durango,CO,"Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Cibola County, NM, Colfax County, NM, Lincoln County, NM, Los Alamos County, NM, McKinley County, NM, Mora County, NM, Rio Arriba County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM",
154372,"Forest Service, BLM ease fire restrictions - Santa Fe New Mexican (NM)",07/27/2020,05/20/2020,07/29/2020,,https://www.santafenewmexican.com/news/local_news/forest-service-blm-ease-fire-restrictions/article_21552d30-d04c-11ea-a33b-431c1707a20f.html,,good,Santa Fe,NM,"Fire, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Cibola County, NM, Colfax County, NM, Lincoln County, NM, Los Alamos County, NM, McKinley County, NM, Mora County, NM, Rio Arriba County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM",
154371,Fire ban on New Mexico state land lifted as monsoon storms intensify - Santa Fe New Mexican (NM),07/24/2020,05/13/2020,07/24/2020,,https://www.santafenewmexican.com/news/local_news/fire-ban-on-new-mexico-state-land-lifted-as-monsoon-storms-intensify/article_0fa8d432-cdc3-11ea-9775-63e6923b0a92.html,,good,Santa Fe,NM,"Fire, Relief, Response & Restrictions","New Mexico, Catron County, NM, Chaves County, NM, Colfax County, NM, Eddy County, NM, Grant County, NM, Lincoln County, NM, Los Alamos County, NM, Mora County, NM, Otero County, NM, Rio Arriba County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Taos County, NM",
131095,"Hot, dry, windy conditions continue (New Mexico) - High Plains/Midwest Ag Journal (KS)",07/23/2019,07/21/2019, ,,https://www.hpj.com/crops/hot-dry-windy-conditions-continue-new-mexico/article_0a7a23c0-bbe3-556b-8d58-ba825b6fa842.html,,Name updated 20200514,Dodge City,KS,"Agriculture, General Awareness","New Mexico, Dona Ana County, NM, Union County, NM",
102896,New Mexico counties designated as drought disaster areas - ABQJournal Online (NM),04/04/2018,04/03/2018, ,,https://www.abqjournal.com/1154420/new-mexico-counties-designated-as-drought-disaster-areas.html,,not listed,Albuquerque,NM,"Agriculture, Relief, Response & Restrictions","New Mexico, Bernalillo County, NM, Catron County, NM, Chaves County, NM, Cibola County, NM, Colfax County, NM, Curry County, NM, DeBaca County, NM, Dona Ana County, NM, Eddy County, NM, Grant County, NM, Guadalupe County, NM, Harding County, NM, Hidalgo County, NM, Lea County, NM, Lincoln County, NM, Los Alamos County, NM, Luna County, NM, McKinley County, NM, Mora County, NM, Otero County, NM, Quay County, NM, Rio Arriba County, NM, Roosevelt County, NM, San Juan County, NM, San Miguel County, NM, Sandoval County, NM, Santa Fe County, NM, Sierra County, NM, Socorro County, NM, Taos County, NM, Torrance County, NM, Union County, NM, Valencia County, NM",
